patient_key,patient_id,patient_signature,member_id,group_id,network,patient_ssn,first_name,last_name,date_of_birth,gender,phone_number,address_line_1,address_line_2,city,state,zip_code,country,full_address,pcp_id,patient_status,source_system,source_record_id,ingestion_id,ingested_at,processed_at,created_at,updated_at,last_modified_at,record_hash,record_status,is_active
100001,P00001,30164d6042b0723e0ce3ba3629bf96843452fe7d7d7cf77369e9fc5b35c082e9,MEM7000001,GRP1001,OakStreet-South,267-96-5993,Matthew,Lopez,1950-05-03,F,+16089109827,1603 Oak Ave,,Houston,TX,77002,USA,"1603 Oak Ave, Houston, TX 77002, USA",PCP0047,Active,EHR,P00001,ING-PAT-20261005-00001,2026-10-05T09:58:03,2026-10-05T10:00:03,2023-03-18T10:00:03,2026-10-05T10:00:03,2026-10-05T08:53:03,d803a31f44946c93cf4956be060ae439b86be001068677581a7fde0101c8e1cc,CURRENT,True
100002,P00002,ad2a702698253910ce6d38597f835b37e54d5d9ca5a43dcad65a6c1ef6a37f9f,MEM7000002,GRP1002,OakStreet-East,217-38-5766,Susan,Miller,1953-11-09,F,+18104866294,7973 Market Ave,,Chicago,IL,60601,USA,"7973 Market Ave, Chicago, IL 60601, USA",PCP0002,Active,EHR,P00002,ING-PAT-20261005-00002,2026-10-05T09:58:06,2026-10-05T10:00:06,2021-12-11T10:00:06,2026-10-05T10:00:06,2026-10-05T07:05:06,f17c16e85b07c534f1b71159e4d6742ca6699f37b3c1b28f3db2d8e0ef0cc59d,CURRENT,True
100003,P00003,c29bc3d6643fd84b77eb4b618f83e66a464595ed8dac849e763633f7f2f489ec,MEM7000003,GRP1003,OakStreet-Southwest,256-68-1061,Thomas,Ramirez,1968-07-07,F,+17198855278,8705 Lake Ave,Apt 901,Dallas,TX,75201,USA,"8705 Lake Ave Apt 901, Dallas, TX 75201, USA",PCP0004,Active,EHR,P00003,ING-PAT-20261005-00003,2026-10-05T09:58:09,2026-10-05T10:00:09,2023-07-10T10:00:09,2026-10-05T10:00:09,2026-10-05T06:38:09,c65f59f177e9220737b05111c6ca2a7b2587ffdb481f49d708491bd96f56c2d1,CURRENT,True
100004,P00004,29ad0b2f6e6738843814c697a494dce8feb09ee99715448124eb1e64472e23fd,MEM7000004,GRP1004,OakStreet-Central,336-40-5169,Steven,Brown,2000-10-18,F,+13913393257,8666 Oak Rd,,Chicago,IL,60601,USA,"8666 Oak Rd, Chicago, IL 60601, USA",PCP0095,Active,EHR,P00004,ING-PAT-20261005-00004,2026-10-05T09:58:12,2026-10-05T10:00:12,2024-05-18T10:00:12,2026-10-05T10:00:12,2026-10-05T08:45:12,e1add3fd21fd7669d11f83104190ac48526f3555c907c5684457f7d630db3082,CURRENT,True
100005,P00005,74c9a05fee13ee298a5674e33ef15ee6dc460d5334bbc2dd9d1b1a360bec691c,MEM7000005,GRP1005,OakStreet-South,353-40-5471,John,Perez,1951-01-09,F,+17002609511,7681 Park Rd,Apt 167,Chicago,IL,60601,USA,"7681 Park Rd Apt 167, Chicago, IL 60601, USA",PCP0066,Active,EHR,P00005,ING-PAT-20261005-00005,2026-10-05T09:58:15,2026-10-05T10:00:15,2022-12-09T10:00:15,2026-10-05T10:00:15,2026-10-05T06:53:15,2c37e77fd3af42438672be4301f7852c555c8d40140bdc52f4ae9532edc760d1,CURRENT,True
100006,P00006,a5cb339ea4d58639f60817c9db3752973b783c9ab609d87ad9b54ffe416db4de,MEM7000006,GRP1006,OakStreet-East,762-57-0788,Lisa,Perez,2002-02-01,F,+16864506771,3746 Pine Blvd,,Dallas,TX,75201,USA,"3746 Pine Blvd, Dallas, TX 75201, USA",PCP0029,Active,EHR,P00006,ING-PAT-20261005-00006,2026-10-05T09:58:18,2026-10-05T10:00:18,2025-03-10T10:00:18,2026-10-05T10:00:18,2026-10-05T08:26:18,40d94ec97e90ed8c6ef7832f3eed644f6412f6c63a9ee3c55b6bb629df869845,CURRENT,True
100007,P00007,306a909ee4ea1933ab69e65a09c66f0aa916cf7e5a8db43fe1a61122582d891a,MEM7000007,GRP1007,OakStreet-Southwest,252-89-6256,Elizabeth,Garcia,1979-10-14,F,+16885062038,281 Pine Blvd,,Houston,TX,77002,USA,"281 Pine Blvd, Houston, TX 77002, USA",PCP0104,Active,EHR,P00007,ING-PAT-20261005-00007,2026-10-05T09:58:21,2026-10-05T10:00:21,2022-10-10T10:00:21,2026-10-05T10:00:21,2026-10-05T08:30:21,cb705c0d3793793fe51b55f8c30c98605d1e56a072c329f59ad729400812f182,CURRENT,True
100008,P00008,87294746e8a775aa6a1aa3c60f92bc9c9d1ea5e5fc84c3aba8520baa4c74a4de,MEM7000008,GRP1008,OakStreet-Central,386-23-4566,Elizabeth,Lopez,1963-08-06,F,+15105062959,5088 Market St,Apt 682,Orlando,FL,32801,USA,"5088 Market St Apt 682, Orlando, FL 32801, USA",PCP0086,Active,EHR,P00008,ING-PAT-20261005-00008,2026-10-05T09:58:24,2026-10-05T10:00:24,2025-12-05T10:00:24,2026-10-05T10:00:24,2026-10-05T06:00:24,d2274a97140aa3d7841a997115574cae75dcf5dc4fa7f830acabf89815344c4d,CURRENT,True
100009,P00009,909c4e0299545b6291f196c8fbc0d96a7e9627c82c7a621e6c83d09f544215a3,MEM7000009,GRP1009,OakStreet-South,895-10-6934,Robert,Ramirez,1964-06-27,M,+16305112795,258 Oak St,,Chicago,IL,60601,USA,"258 Oak St, Chicago, IL 60601, USA",PCP0116,Active,EHR,P00009,ING-PAT-20261005-00009,2026-10-05T09:58:27,2026-10-05T10:00:27,2023-02-11T10:00:27,2026-10-05T10:00:27,2026-10-05T08:54:27,bc6208277c882f46d3d6d4adc1014ddeb2a82034f41830cc409167f3bdd58f7f,CURRENT,True
100010,P00010,b1c6714642c5df35a54911505cfbcd63b2ab7f9467d31982de8e3b871463db9a,MEM7000010,GRP1010,OakStreet-East,443-16-8120,John,Ramirez,1952-06-09,F,+19525147701,2524 Park Ave,Apt 377,Chicago,IL,60601,USA,"2524 Park Ave Apt 377, Chicago, IL 60601, USA",PCP0088,Active,EHR,P00010,ING-PAT-20261005-00010,2026-10-05T09:58:30,2026-10-05T10:00:30,2022-03-14T10:00:30,2026-10-05T10:00:30,2026-10-05T06:39:30,5a9af0ea0f6a3cf2d936a9ee7bb8fe93556d025afc1f78478613e3b48335fc79,CURRENT,True
100011,P00011,98dd2e26a4ac39abfa3b561042da97b940695fa70e3789a9ad4e2fba941f90c4,MEM7000011,GRP1011,OakStreet-Southwest,684-52-9894,Michael,Hernandez,1940-03-09,M,+12598468031,9683 Park Blvd,,Chicago,IL,60601,USA,"9683 Park Blvd, Chicago, IL 60601, USA",PCP0058,Active,EHR,P00011,ING-PAT-20261005-00011,2026-10-05T09:58:33,2026-10-05T10:00:33,2025-01-06T10:00:33,2026-10-05T10:00:33,2026-10-05T07:34:33,4372e8732f614c08ed887ffdb709312f1afd647f5d920213d811dab0d39e5a01,CURRENT,True
100012,P00012,15feed9b593ef1d4369abe25ea2b45093b6499241afe3b7a70827839c1e990d3,MEM7000012,GRP1012,OakStreet-Central,146-64-6101,James,Clark,1968-06-08,M,+13335385505,9682 Lake Blvd,Apt 874,San Antonio,TX,78205,USA,"9682 Lake Blvd Apt 874, San Antonio, TX 78205, USA",PCP0036,Active,EHR,P00012,ING-PAT-20261005-00012,2026-10-05T09:58:36,2026-10-05T10:00:36,2023-09-08T10:00:36,2026-10-05T10:00:36,2026-10-05T06:47:36,d87e870595757625ec7c0c12fa33115ae7d92b71dc2915fa3ef06ca6c83284bb,CURRENT,True
100013,P00013,5bf1e07fc7ac74e5be6af3fb6a131825fdf4339a8a2602faed419af4d1f965a1,MEM7000013,GRP1013,OakStreet-South,509-74-2360,Patricia,Johnson,2003-05-23,M,+16252071610,2912 Oak Ave,Apt 339,Austin,TX,78701,USA,"2912 Oak Ave Apt 339, Austin, TX 78701, USA",PCP0079,Active,EHR,P00013,ING-PAT-20261005-00013,2026-10-05T09:58:39,2026-10-05T10:00:39,2023-03-26T10:00:39,2026-10-05T10:00:39,2026-10-05T09:31:39,1477526161490551164662e56b18d2aa190e2acef4927d0f10959e097819981f,CURRENT,True
